business_id,date,review_id,stars,type,user_id,cool,useful,funny
9yKzy9PApeiPPOUJEtnvkg,2011-01-26,fWKvX83p0-ka4JS3dc6E5A,5,review,rLtl8ZkDX5vH5nAx9C3q5Q,2,5,0
ZRJwVLyzEJq1VAihDhYiow,2011-07-27,IjZ33sJrzXqU-0X6U8NwyA,5,review,0a2KyEL0d3Yb1V6aivbIuQ,0,0,0
6oRAC4uyJCsJl1X0WZpVSA,2012-06-14,IESLBzqUCLdSzSqm0eCSxQ,4,review,0hT2KtfLiobPvh6cDC8JQg,0,1,0
_1QQZuf4zZOyFCvXc0o6Vg,2010-05-27,G-WvGaISbqqaMHlNnByodA,5,review,uZetl9T0NcROGOyFfughhg,1,2,0
6ozycU1RpktNG2-1BroVtw,2012-01-05,1uJFq2r5QfJG_6ExMRCaGw,5,review,vYmM4KTsC8ZfQBg-j5MWkw,0,0,0
-yxfBYGB6SEqszmxJxd97A,2007-12-13,m2CKSsepBCoRYWxiRUsxAg,4,review,sqYN3lNgvPbPCTRsMFu27g,4,3,1
zp713qNhx8d9KCJJnrw1xA,2010-02-12,riFQ3vxNpP4rWLk_CSri2A,5,review,wFweIWhv2fREZV_dYkz_1g,7,7,4
hW0Ne_HTHEAgGF1rAdmR-g,2012-07-12,JL7GXJ9u4YMx7Rzs05NfiQ,4,review,1ieuYcKS7zeAv_U15AB13A,0,1,0
wNUea3IXZWD63bbOQaOH-g,2012-08-17,XtnfnYmnJYi71yIuGsXIUA,4,review,Vh_DlizgGhSqQh4qfZ2h6A,0,0,0
nMHhuYan8e3cONo3PornJA,2010-08-11,jJAIXA46pU1swYyRCdfXtQ,5,review,sUNkXg8-KFtCMQDV6zRzQg,0,1,0
AsSCv0q_BWqIe3mX2JqsOQ,2010-06-16,E11jzpKz9Kw5K7fuARWfRw,5,review,-OMlS6yWkYjVldNhC31wYg,1,3,1
e9nN4XxjdHj4qtKCOPq_vg,2011-10-21,3rPt0LxF7rgmEUrznoH22w,5,review,C1rHp3dmepNea7XiouwB6Q,1,1,0
h53YuCiIDfEFSJCQpk8v1g,2010-01-11,cGnKNX3I9rthE0-TH24-qA,5,review,UPtysDF6cUDUxq2KY-6Dcg,1,2,0
WGNIYMeXPyoWav1APUq7jA,2011-12-23,FvEEw1_OsrYdvwLV5Hrliw,4,review,Xm8HXE1JHqscXe5BKf0GFQ,1,2,0
yc5AH9H71xJidA_J2mChLA,2010-05-20,pfUwBKYYmUXeiwrhDluQcw,4,review,JOG-4G4e8ae3lx_szHtR8g,1,1,0
Vb9FPCEL6Ly24PNxLBaAFw,2011-03-20,HvqmdqWcerVWO3Gs6zbrOw,2,review,ylWOj2y7TV2e3yYeWhu2QA,0,2,0
supigcPNO9IKo6olaTNV-g,2008-10-12,HXP_0Ul-FCmA4f-k9CqvaQ,3,review,SBbftLzfYYKItOMFwOTIJg,3,4,2
O510Re68mOy9dU490JTKCg,2010-05-03,j4SIzrIy0WrmW4yr4--Khg,5,review,u1KWcbPMvXFEEYkZZ0Yktg,0,0,0
b5cEoKR8iQliq-yT2_O0LQ,2009-03-06,v0cTd3PNpYCkTyGKSpOfGA,3,review,UsULgP4bKA8RMzs8dQzcsA,5,6,4
4JzzbSbK9wmlOBJZWYfuCg,2011-11-17,a0lCu-j2Sk_kHQsZi_eNgw,4,review,nDBly08j5URmrHQ2JCbyiw,1,1,1
8FNO4D3eozpIjj0k3q5Zbg,2008-10-08,MuqugTuR5DdIPcZ2IVP3aQ,3,review,C6IOtaaYdLIT5fWd7ZYIuA,2,4,1
tdcjXyFLMKAsvRhURNOkCg,2011-06-28,LmuKVFh03Uz318VKnUWrxA,5,review,YN3ZLOdg8kpnfbVcIhuEZA,1,1,2
eFA9dqXT5EA_TrMgbo03QQ,2011-07-13,CQYc8hgKxV4enApDkx0IhA,5,review,6lg55RIP23VhjYEBXJ8Njw,0,0,0
IJ0o6b8bJFAbG6MjGfBebQ,2010-09-05,Dx9sfFU6Zn0GYOckijom-g,1,review,zRlQEDYd_HKp0VS3hnAffA,0,1,1
JhupPnWfNlMJivnWB5druA,2011-05-22,cFtQnKzn2VDpBedy_TxlvA,5,review,13xj6FSvYO0rZVRv5XZp4w,0,1,0
